product,delivery,date,open,high,low,close,settlement,volume,open_interest
pb,1109,2011-03-24,19230,19570,18830,18935,19095,73440,9696
pb,1110,2011-03-24,19235,19770,18955,18955,19285,592,138
pb,1111,2011-03-24,19245,19720,19050,19050,19405,40,10
pb,1112,2011-03-24,19300,19800,18750,19110,19380,38,8
pb,1201,2011-03-24,19005,19965,19005,19250,19530,150,22
pb,1202,2011-03-24,19695,19695,19130,19370,19390,14,6
pb,1203,2011-03-24,,,,18350,18350,0,0
pb,1109,2011-03-25,18935,19135,18860,18950,18995,24858,8494
pb,1110,2011-03-25,19050,19220,18950,19045,19045,226,90
pb,1111,2011-03-25,19105,19105,19105,19105,19105,2,8
pb,1112,2011-03-25,19305,19305,19205,19205,19255,4,6
pb,1201,2011-03-25,19355,19430,19290,19300,19360,18,16
pb,1202,2011-03-25,19440,19440,19440,19440,19440,2,6
pb,1203,2011-03-25,,,,19150,19150,0,0
pb,1109,2011-03-28,18900,19035,18500,18605,18775,16960,8262
pb,1110,2011-03-28,19095,19105,18625,18690,18795,78,70
pb,1111,2011-03-28,18930,18930,18930,18930,18930,2,8
pb,1112,2011-03-28,19230,19230,19085,19085,19155,4,6
pb,1201,2011-03-28,19280,19315,18885,18955,19115,14,16
pb,1202,2011-03-28,19900,19900,18855,19175,19310,6,6
pb,1203,2011-03-28,,,,19310,19310,0,0
pb,1109,2011-03-29,18530,18735,18485,18675,18635,10618,7968
pb,1110,2011-03-29,18690,18835,18655,18765,18740,26,68
pb,1111,2011-03-29,18785,18785,18780,18780,18780,4,6
pb,1112,2011-03-29,18795,19050,18740,19050,18860,8,6
pb,1201,2011-03-29,18955,18955,18955,18955,18955,2,16
pb,1202,2011-03-29,,,,19145,19145,0,6
pb,1203,2011-03-29,,,,19145,19145,0,0
pb,1109,2011-03-30,18800,18850,18695,18760,18755,8086,7320
pb,1110,2011-03-30,18820,18880,18800,18875,18835,20,70
pb,1111,2011-03-30,,,,18920,18920,0,6
pb,1112,2011-03-30,,,,18880,18880,0,6
pb,1201,2011-03-30,19100,19160,19010,19160,19100,14,16
pb,1202,2011-03-30,19245,19245,19245,19245,19245,2,6
pb,1203,2011-03-30,,,,19245,19245,0,0
pb,1109,2011-03-31,18700,18720,18580,18665,18650,3056,6776
pb,1110,2011-03-31,18765,18765,18705,18705,18735,4,66
pb,1111,2011-03-31,18920,19045,18920,18950,18970,6,6
pb,1112,2011-03-31,19045,19045,18910,18910,18975,4,6
pb,1201,2011-03-31,19090,19090,18945,18945,19020,6,16
pb,1202,2011-03-31,,,,19245,19245,0,6
pb,1203,2011-03-31,19450,19450,18855,18855,19165,6,0
pb,1109,2011-04-01,18780,18780,18570,18640,18665,2550,6716
pb,1110,2011-04-01,18770,18800,18770,18800,18790,116,174
pb,1111,2011-04-01,,,,18970,18970,0,6
pb,1112,2011-04-01,18910,18910,18910,18910,18910,2,6
