product,delivery,date,open,high,low,close,settlement,volume,open_interest
al,0201,2002-01-07,13300,13460,13300,13370,13410,308,5630
al,0202,2002-01-07,13400,13460,13400,13460,13440,380,7388
al,0203,2002-01-07,13490,13520,13470,13500,13470,504,13018
al,0204,2002-01-07,13460,13560,13460,13540,13530,4364,11000
al,0205,2002-01-07,13510,13590,13510,13580,13560,1908,11140
al,0206,2002-01-07,13590,13640,13590,13630,13620,1226,1514
al,0207,2002-01-07,0,0,0,13540,13540,0,0
al,0208,2002-01-07,0,0,0,13800,0,0,0
al,0209,2002-01-07,0,0,0,13800,0,0,0
al,0210,2002-01-07,0,0,0,13800,0,0,0
al,0211,2002-01-07,0,0,0,13800,0,0,0
al,0212,2002-01-07,0,0,0,13800,0,0,0
al,0201,2002-01-08,13500,13750,13460,13680,13640,1726,5288
al,0202,2002-01-08,13650,13840,13650,13700,13740,3690,8264
al,0203,2002-01-08,13870,13870,13760,13800,13820,2352,13308
al,0204,2002-01-08,13930,13930,13860,13900,13900,2486,11890
al,0205,2002-01-08,13960,13960,13850,13950,13940,2954,12070
al,0206,2002-01-08,13970,14020,13970,13990,14010,1770,2600
al,0207,2002-01-08,0,0,0,13540,13540,0,0
al,0208,2002-01-08,0,0,0,13800,0,0,0
al,0209,2002-01-08,0,0,0,13800,0,0,0
al,0210,2002-01-08,0,0,0,13800,0,0,0
al,0211,2002-01-08,0,0,0,13800,0,0,0
al,0212,2002-01-08,0,0,0,13800,0,0,0
al,0201,2002-01-09,13400,13600,13400,13560,13560,826,4882
al,0202,2002-01-09,13600,13650,13500,13590,13570,1812,8104
al,0203,2002-01-09,13710,13710,13600,13700,13650,1626,12694
al,0204,2002-01-09,13750,13790,13650,13770,13740,1730,11234
al,0205,2002-01-09,13760,13850,13650,13800,13790,3602,12086
al,0206,2002-01-09,13750,13950,13750,13860,13830,2702,2822
al,0207,2002-01-09,0,0,0,13540,13540,0,0
al,0208,2002-01-09,0,0,0,13800,0,0,0
al,0209,2002-01-09,0,0,0,13800,0,0,0
al,0210,2002-01-09,0,0,0,13800,0,0,0
al,0211,2002-01-09,0,0,0,13800,0,0,0
al,0212,2002-01-09,0,0,0,13800,0,0,0
al,0201,2002-01-10,13550,13570,13540,13540,13540,604,4538
al,0202,2002-01-10,13660,13660,13560,13600,13600,1292,8082
al,0203,2002-01-10,13730,13730,13620,13660,13670,1848,12586
al,0204,2002-01-10,13810,13830,13700,13720,13780,1514,11226
al,0205,2002-01-10,13830,13860,13770,13770,13820,2496,12192
al,0206,2002-01-10,13880,13890,13830,13830,13870,1094,3230
al,0207,2002-01-10,13900,13900,13900,13900,13900,6,6
al,0208,2002-01-10,0,0,0,13800,0,0,0
al,0209,2002-01-10,0,0,0,13800,0,0,0
al,0210,2002-01-10,0,0,0,13800,0,0,0
al,0211,2002-01-10,0,0,0,13800,0,0,0
al,0212,2002-01-10,0,0,0,13800,0,0,0
al,0201,2002-01-11,13490,13540,13490,13520,13500,626,4174
al,0202,2002-01-11,13580,13620,13520,13560,13570,2106,7948
al,0203,2002-01-11,13660,13660,13550,13640,13630,2894,12438
al,0204,2002-01-11,13780,13780,13660,13700,13720,4660,11098
al,0205,2002-01-11,13720,13790,13720,13760,13750,4846,12724
al,0206,2002-01-11,13850,13850,13780,13790,13820,2302,3972
